"id","age","age_group","volunteer","weekly_social_contact","worthwhile_response","worthwhile","contribution_response","contributes","social_contacts_important_response","social_contacts_important","personal_development_important_response","personal_development_important","autonomy_response","autonomy","useful_response","useful","hopeful_response","hopeful"
1,27,"25 - 35",FALSE,TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Undecided",FALSE
2,70,"65 - 75",FALSE,TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE
3,30,"25 - 35",TRUE,TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE
4,42,"35 - 45",FALSE,TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE
5,78,"above 75",TRUE,TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE
6,54,"45 - 55",TRUE,TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE
7,89,"above 75",TRUE,FALSE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE
8,56,"55 - 65",FALSE,TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE
9,21,"18 - 25",TRUE,TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE
10,70,"65 - 75",TRUE,TRUE,"Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Disagree",FALSE
11,34,"25 - 35",FALSE,TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Agree",TRUE
12,85,"above 75",FALSE,FALSE,"Undecided",FALSE,"Undecided",FALSE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE
13,45,"45 - 55",TRUE,TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE
14,21,"18 - 25",TRUE,TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Undecided",FALSE,"Agree",TRUE,"Disagree",FALSE
15,33,"25 - 35",TRUE,TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Undecided",FALSE
16,34,"25 - 35",FALSE,FALSE,"Strongly Agree",TRUE,"Undecided",FALSE,"Agree",TRUE,"Strongly Agree",TRUE,"Undecided",FALSE,"Agree",TRUE,"Agree",TRUE
17,73,"65 - 75",FALSE,TRUE,"Strongly Agree",TRUE,"Undecided",FALSE,"Agree",TRUE,"Undecided",FALSE,"Strongly Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE
18,26,"25 - 35",TRUE,TRUE,"Agree",TRUE,"Undecided",FALSE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Undecided",FALSE,"Undecided",FALSE
19,32,"25 - 35",TRUE,TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Undecided",FALSE,"Disagree",FALSE,"Agree",TRUE,"Agree",TRUE
20,72,"65 - 75",TRUE,TRUE,"Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Undecided",FALSE,"Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE
21,61,"55 - 65",TRUE,TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE
